,Complexity_2,Complexity_3,Complexity_4,Complexity_5,Complexity_final,NZ_Complexity_2,NZ_Complexity_3,NZ_Complexity_4,NZ_Complexity_5,NZ_Complexity_final,Complexity_sd_2,Complexity_sd_3,Complexity_sd_4,Complexity_sd_5,Complexity_sd_final,Complexity_nzsd_2,Complexity_nzsd_3,Complexity_nzsd_4,Complexity_nzsd_5,Complexity_nzsd_final,StimulusCode,StimulusCategory,Version,Stimulus
298,521.8150310165466,451.09843595640916,58.430200683284944,3.8158690599399163,0.9820954799215542,212226.18214143452,108456.4774612607,54974.59765575768,14692.110371938312,2081.070758738278,718.0714600213053,799.4530375860195,155.5779926665616,14.434013574847496,2.177655323172812,754.904996204378,932.7348406308182,236.1267527014718,29.206041221191455,2.8577198478672874,1829,military,2,29
299,383.7831978159495,375.3278332258968,51.36349260594427,2.8850831736980376,0.6455560521317238,202542.43116392,100219.28332569402,50323.45247641509,12555.950795947901,2029.4008498583569,562.0435779531769,648.6912438953306,132.8539485541034,10.618882259932175,1.242852261285406,599.8207052670261,748.2372015269652,197.43185742197224,20.984524601023818,1.4774767924937218,1830,military,2,30
300,312.60222259223883,260.1603536925127,36.626197927906176,2.272729666238236,0.6027148395005497,203176.9358200087,104889.70746414877,52298.14308994046,13426.94301994302,2073.519925857275,618.033502553059,673.7404330557265,129.8179388535479,10.521982312890048,1.397755959343206,737.7068572494517,995.2075875140048,247.72277035509305,25.390252117880966,1.886987850248658,1831,military,2,31
301,367.13805656571657,374.1815813061076,50.78712521573819,3.5259155395244157,0.7880653328684275,205666.71739529353,103760.59938686164,51703.51717352415,12635.973624503687,2027.740157480315,569.6707428057307,697.0347159507032,144.85574229456523,13.316885615209108,1.6527434183784513,619.7775607014872,836.2779164241216,231.93815782817967,26.849101337728925,2.086325681817779,1832,military,2,32
302,211.09852850728285,207.91925993655593,29.140582169916446,2.1322118869933067,0.6716426348048117,201399.846806251,100441.11205767498,49317.295197031985,11844.315452091769,2091.360972122945,430.3886021317375,490.1597003470596,95.3149993796917,8.86314353041105,1.304278010953179,494.5030007587783,657.4463942348088,168.77626864861625,19.433940470591306,1.5602795419704933,1833,military,2,33
303,353.1699253905974,339.343368474112,46.65295194492294,3.255963068601274,0.7645119014960073,206150.0577035799,104951.38681412913,50740.992226835086,11677.714243235207,2050.36,585.2410675836982,668.286720977601,135.90126508304158,12.481500754039011,1.524485155449284,644.5935744925488,823.9427680996502,220.79301844653432,25.520268416723503,1.8648468482488494,1834,military,2,34
304,360.0401168675495,286.0058696957515,35.89040760584976,2.461186817248782,0.5207810955471359,199954.44425803752,99341.4269103585,50510.27477938667,13845.748033877799,2049.990566037736,534.4849173923956,591.1941975730209,109.34961582399292,9.991132937366256,1.0346671527785432,571.041147049284,750.8813054852019,184.31029086052033,21.322611730160922,1.26174411238144,1835,military,2,35
305,308.903311281608,316.92819672033255,46.75633785323162,2.850762510338557,0.8031739161924634,208808.3254970083,108569.5171438671,54988.94306728412,12802.021317212853,2073.95874916833,517.3401978741608,642.2460609868957,136.98640132229286,11.460646996415951,1.505026315118324,577.4648892773009,807.003721051357,223.77771274129353,24.402810666618034,1.7719931221955436,1901,space,2,1
306,342.8284242711326,347.3678227008401,50.54086809866998,2.601261314256497,0.6241001685993979,206679.02898209065,107217.13023197307,53629.66841695838,13270.79406005222,2042.5608380338438,546.2214441749567,633.686107919125,132.85646671583177,10.2142173525792,1.316227688044805,596.9624978981709,751.3951327597379,199.8727825961452,21.354337472281813,1.6614862583091858,1902,space,2,2
307,309.7133379241532,292.9997965745718,41.01211564540003,2.6298888439227346,0.624791880381963,207662.02793352382,105775.75015234613,53337.63599876505,13148.127774254914,2062.5204802259886,527.9110242208818,596.4746848940191,120.90314193614279,10.552270553902535,1.240758808763177,583.9388642161408,746.6915011201065,197.9711458385647,22.430514654779408,1.5218483772977793,1903,space,2,3
308,493.9775917258239,477.25332034554856,65.84116738983309,3.8113403281871685,0.7262295091168198,202154.95464613845,102925.89381919097,51147.805615129655,12282.462618160986,2059.644376899696,692.2673011224199,809.2226839089374,165.79097447640112,14.269087038781377,1.7748342516843731,731.2851289643386,923.8788196687793,241.12553175174247,28.59004820956902,2.4855843107984006,1904,space,2,4
309,397.36364081258796,358.2953404962719,50.34028216707298,3.6469294000329384,0.8666094263790001,202571.52686845235,106283.45910473607,54709.171104493296,14353.555834378922,2041.845129642607,620.6597004796325,708.3357657209505,138.8563314712422,12.474630343009512,1.672367701207833,671.117563343101,877.271717244604,216.62962168263087,23.157872809648016,1.99899396297523,1905,space,2,5
310,557.7974262936656,538.246040459904,63.35170056015118,3.7275586170162196,0.44707363013731083,199726.2587952628,108132.70511221292,53912.06717189115,13319.145745577085,2012.4243353783231,815.2915151865645,936.7665108474804,172.25863270996243,13.591421803388318,1.0898694756436047,871.0501146228954,1083.2333295990486,265.7520357014639,26.63957364818972,1.5185301259488206,1906,space,2,6
311,359.3676754088451,273.0510790177855,32.96444454791582,1.5901846531165316,0.6024472281096678,216187.82700050928,101158.16893234225,45655.2327953577,10378.099632503063,2080.9602774274904,580.489710552841,572.3726821531749,103.44329806541697,7.104243458473238,1.1032673249632416,637.3182449995452,725.7834914620482,176.44867333473582,16.66020172349621,1.288452852479988,1907,space,2,7
312,462.5186374893243,351.15482468167005,42.21352629966513,2.3003034056021776,0.6152240556293691,201109.71503086295,100263.40467488513,49746.43074622082,12830.595573440643,2044.6253846153845,641.0789331268335,711.8399899670471,135.114645483208,10.983085960559684,1.2773063217477696,673.1578875345787,894.4327490942349,237.0825906733307,27.054239752637958,1.604860469456889,1908,space,2,8
313,232.72979089447279,221.73480943512914,32.256715791669635,2.088303606382508,0.7092721793014789,201309.73603944352,99102.49811644394,49280.02971564818,12522.294421154465,2015.8844507845934,602.5073062574554,602.9042811103877,115.11813872050405,8.959649148226568,1.4008911047892607,674.846227023731,815.9167602608517,207.12735082863603,19.982293446780556,1.7056858167525717,1909,space,2,9
314,434.71483870394286,433.3697706496845,59.39149027271159,4.126258296249498,0.7728423778680735,200343.54248445563,98421.26647932797,48715.62020823474,11821.005205751115,2031.915343915344,636.5985158927542,761.9377293038257,155.93377318280173,14.05296080613942,1.5931752428523336,679.1634125567792,886.272615596768,234.3987479339767,25.991374115535194,1.99559008353809,1910,space,2,10
