,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64
10,4047416.743941486,1800662.3805302978,467477.8729028851,3618123.0237658024,11569299.784584045,2887958.7497258186,2263866.0249910876,1932724.8350928426,1317622.6842948198,1535911.847977057,3932833.0006376505,1494456.316191882,2692150.18908301,3718106.504330933,640776.7995165586,3347135.0260801315,1051078.8363665342,3147231.5318335816,2700768.8588348925,1748340.009307325,2435552.0863788724,1638137.7718771398,824418.3743441701,1084403.3580104746,2898870.756347522,9071147.144447327,2850852.205652356,7251381.481797218,3383806.087771952,3037657.03886348,2024893.0872924775,7035460.154301941,2472538.9600072205,2552791.6105704904,6702594.12073642,1740701.1398917437,1481161.356127441,4168002.4653834403,192070.88324207067,315930.0315937847,3611705.738792658,4602692.04609859,919005.483626306,2410998.368974909,2481931.707056366,5395490.333875388,4178323.500348568,6985630.730386734,1226372.886596024,3360810.587365806,2631311.662524402,62217.93946874142,3277672.09994103,3760214.1362272203,1094799.8818309829,2688837.4026081264,2369040.3256381154,1577363.9825301766,2892812.7021318525,2754781.7053091526,5040508.641483426,1900420.8797120638,2383909.4564818926,1748837.4396138787
11,3513208.964468926,1589518.6732073426,712471.7788233757,1155919.1174159646,13935038.795089722,2176307.810142912,1489410.732138224,491709.3975844383,859015.5420981646,1576162.8582055867,3163013.2594172955,1410449.389317289,2405963.39257583,2995459.5217576474,597238.6942346916,914198.9397490919,766256.668936491,2318675.792269163,3322837.370430827,1142372.9313935637,1647478.6081417203,1226390.4651156962,519990.2583438158,1252135.6714435518,1072065.3373100609,11653878.930772781,2158511.3460451365,7315437.641399384,2322245.247624278,1956674.400030136,1280422.695226796,9085045.294306576,1778206.961253278,1754529.8043626547,8091893.944351792,1115157.1698607802,987510.4513772428,3756955.5693282187,156878.31063503027,171451.35627944767,2897379.266598463,4973175.819667101,732963.2769385129,1740340.6621845067,1695713.3624808267,6742440.800882548,4483441.504570961,7229101.013375998,823660.3424876034,2413181.3320357203,1820349.1049594283,49065.28699967265,4883879.059890747,3247220.95968163,1605597.1846907735,1571631.800002277,1668968.0748338103,979227.003633529,2036316.5384424627,2440484.749559149,2779602.9894862175,2041481.9829116277,1578585.3937030248,1161915.462146163
12,3653548.699316442,1728845.158992231,408056.1043896973,3996890.6559617296,13659020.676708221,2494919.5557026565,2164439.3444108516,2289772.236408949,886968.956584096,1573362.990827173,3535906.308498144,1117368.6627054214,2371865.991751373,3293580.937970683,488399.0645401217,3780741.9102214724,587828.8882623911,2791596.674099155,1996265.1994892657,1435704.3365567029,2150077.4506132007,1415700.6069354713,544278.1621960402,926179.4800349772,3659938.922117561,10444997.305095673,2760248.77892226,9231977.555337906,2962906.282483995,2332616.4332482815,1724343.9574596211,7520654.13153404,2136217.0865761414,2145833.180473268,7425072.826139152,1372276.5055613518,1298864.4108867645,3952671.8300183415,92442.92585259676,99897.02638806403,3161820.3126440644,4657704.801627874,877628.4221094698,2159608.0562015474,1901265.3939111978,4840600.928018682,4411675.385022402,7244772.316665411,841010.7124621272,2912160.859698303,2419809.1023094654,21777.971507042646,3165961.1889152825,3643289.5930457115,1097500.9600838423,2294054.01201573,2173807.56193614,1592720.3931727707,2353358.191907555,2907548.6611463875,5194733.377577305,1382338.6689734757,2065025.0713252425,1369157.4813266397
13,2995123.581251085,1235508.9351944923,955.6782424151897,1171347.495259285,10568185.41041565,1874070.3148691729,1373249.3892995864,135587.68528607488,495885.2208098173,1090317.6002474278,2653383.3041352034,978119.1261720508,1887709.913078338,2737452.870206505,366438.2969563529,931520.4809064865,330590.0212993622,1885169.0011344925,1199924.9093284607,1200020.560359016,1265154.7251766324,1070150.3028912842,251908.40761232376,550764.872519698,654738.349793911,8505379.732955933,1746284.659138441,5872963.798339844,2329712.1595742702,2131680.1463998556,1249952.197628677,6216663.235946655,1841404.1559542492,1835430.5093015432,5842052.686769545,1179075.3610529304,978280.8895551413,2838354.426642388,35047.25860565901,67733.29249821603,2729109.9615995735,4056436.0403625965,514176.35696716607,1445396.921472013,1716737.7252083495,3948053.2453155518,3473762.9916665554,5711391.791366577,756772.3830217421,1333905.9963302612,1422057.6359657645,3173.8666711747646,3120861.967037201,2471184.102519423,346992.8891277611,1730737.842984438,1348203.2696745694,908353.8820313364,2055120.090594545,1953222.7169532776,2051904.0497207642,988122.2320778668,1532827.2735892758,837559.404374063
14,3391287.08203879,1479660.6202579737,2204.3847192525864,1363538.2921857834,13401702.802360535,1959484.6401981264,1601522.7197527066,193086.9606038034,706398.2107539177,1455895.5074254125,3092156.073223114,1015927.6892145574,2041028.072414726,2775187.6777931005,468247.04263964295,1064607.640421629,513537.98683154583,2214896.707936421,1441814.2871265411,1112907.2193986475,1784706.783438921,1060336.95251666,376919.39467537403,762594.3536255062,780908.2979406714,10925151.84185028,2205861.556170106,7407354.47429657,2184611.8436989784,1760992.0608397126,1258424.5078025088,8053014.391217709,1649207.4744434282,1651639.2187988162,7492969.005648613,986082.5659432411,940662.9068464786,3543203.9724009335,68710.73010575771,79640.51519207656,2814816.6643140316,4617232.772176623,579053.5939241201,1743821.3403632045,1495834.8469556645,5036565.760284424,4375831.879398346,7016562.542915106,595627.2710533142,1679533.5733556747,1949254.5869994164,10480.566226571798,3811893.664642334,3285711.7481535375,732773.1836004257,1700217.9922595024,1762949.2769577503,1378694.010102421,1907795.8874253482,2659293.9723861217,2553966.4454860687,1147821.7221975327,1558612.0409629568,1029027.2435612679
15,3346192.0094688535,1544414.04596591,153080.63206844777,3220980.007514477,11326664.388763428,2374040.0844072476,1886929.5172065496,1202082.69979918,991722.1924550533,1226048.792571932,3099360.8453843594,1486183.1450139284,2341143.495666176,3237202.865258038,660254.6339721903,2956863.978843689,741661.8113744259,2244196.543204285,2099648.384423703,1439374.8919539452,1658867.8955973387,1330237.4205916673,567983.6700942516,1346413.4333730154,1848047.4346119463,9936448.171478271,2133783.3437476754,5942505.363143921,2971564.5911212564,2414379.7007954717,1487551.2220710441,8017869.913970888,2109281.2043291964,2146299.8122611046,6645207.087620974,1361298.9993850812,1223118.9533151388,3405233.6830568314,115232.4270902574,168170.0876674503,3021915.575283408,4434913.169728041,594559.8486748189,1840025.9977380335,1998098.6786454022,6480861.953064695,3980762.333345413,6451932.150546908,1022729.6228681803,4084608.819263883,1867145.9266494513,22493.41485849023,2184612.081408322,3063974.9567355514,1473890.4801616967,2076887.6816494763,1756123.8112418652,1256711.3674095273,2284142.075375229,2489345.7893776745,5396278.648580909,1813015.3215978295,1820452.3234523125,1132717.3183252215
16,3303741.18075034,1356169.92597574,844.332331597805,1277434.6892929077,12106563.22341919,1942596.2779632881,1442005.2011802942,172208.36202040315,685047.051181078,1274764.9746202826,2964407.4071879387,1046044.5255268961,2062861.254849404,2960425.8671304137,428391.782611832,1018893.3408362865,416716.1447019577,2085764.1915972456,1331518.7496452332,1276177.0237914622,1365338.2703931332,1147565.7882702798,327797.37982439995,645148.8352606408,728413.7017073631,9793903.040222168,1946547.3145555258,6687149.93157196,2308171.5824608207,2157672.0225116014,1306594.663159553,7214673.784244537,1768246.1677679792,1781569.0365918875,6720857.3612347245,1209698.9924978241,986465.0430536419,3196011.524012685,62530.6029548645,78869.8504230082,2816598.570769429,4507150.952585697,544675.0902214348,1608784.0248243064,1770747.0812003762,4539513.716209412,4014890.601045966,6547830.370826721,801947.8183368742,1530316.4005718231,1609024.1644978523,2593.7350646853447,3480972.6654434204,2876453.6595022976,607160.0068249702,1797031.3482717946,1481686.3603932858,1087014.8770405948,2172156.944053799,2275519.4098660946,2336789.6803359985,1076584.6740942001,1628632.6890713386,938046.5400683284
17,2439193.1731915474,1224355.5689000487,161485.2878112793,2081536.612508662,11202931.511230469,1364922.9650774822,1171208.7005672604,761317.0402459502,585574.7765951753,1061160.0551802218,2063334.615283966,554409.8234248757,1546767.3213947713,2080720.831937626,235315.64489198476,1914133.8712815195,420740.22584688663,1326156.0440831706,236202.38221132755,849963.1207823008,936241.4980863333,811888.557367146,330055.62182819843,410876.0843176767,2053720.4729731083,8535850.055999756,1451164.6177470088,7451239.409671783,1786911.1172335148,1405078.0397414565,814593.4134357385,5939143.702793121,1281907.0682832748,1350247.4626034498,5923905.872389972,705667.4669408202,713525.7924158722,2435626.848274708,58532.37371379137,56180.503934413195,2073016.25489825,3656683.488620281,562106.9743660763,1048496.0656270087,1086608.3728892356,2940826.7192649245,3393749.0425266027,5403467.331046939,521069.66829782724,1452820.2172510922,1095160.3319277763,14547.053025096655,2611596.4538031965,2189730.845317453,858119.712937817,1192407.669633299,1109323.4738349319,778739.9366673678,1363897.7375012934,1777814.5831389874,2840172.7965747714,341255.88560979813,1078473.4233008735,563866.7123405337
18,4111478.8760370314,1892359.483605802,1607691.1244736016,2556693.402136117,12648112.785751343,3113866.481948927,2207155.001061693,1546276.3087803125,1116214.9524418116,1675684.323702842,3890815.3097436726,1336068.0592719615,2879753.3486690223,4034945.17513445,512955.60342128575,2382143.569705412,887376.2559270859,3076279.265835099,1904980.4995940924,1918654.2538875043,2445424.424726367,1723245.5951810777,663934.5344116688,751457.8235279582,2979944.1655335575,8866504.471679688,2742576.7358548045,9151216.80904007,3395163.070825875,3357656.7992985845,2256087.2273152545,6194251.166564226,2745264.9185255244,2720709.3902572393,6671791.474505842,1940951.215458095,1571033.2567628473,4005877.7988550663,237187.96601003408,260434.6121840179,3697910.301777005,4935848.897014022,1367568.295488283,2363905.0406330973,2652020.9736997187,4039795.619214922,4279082.32691741,7249707.699292898,1309737.3536407351,2070410.1635495052,2648162.492107451,127484.08782082796,4946054.529379442,3740216.9942034185,590019.3232007623,2953520.547947228,2347218.711784184,1709584.513317883,3117307.0607489794,2865684.760848522,3292094.614089757,1370099.8406673074,2642414.9587987587,1604331.793564856
19,2597010.0580253303,1110619.265766263,619.5472461730242,1037227.6222581863,10346709.152832031,1523425.6847221926,1128718.5646241158,133377.96360611916,512376.1104285717,995218.8533761948,2442319.271227002,740772.2219035029,1452548.2434257567,2197182.6464651525,312266.8370007649,816046.2794425488,311989.0994436741,1881784.760821715,1085492.3726654053,842895.2632827163,1426834.641902864,683752.6810830235,244852.50566005707,537806.3353931606,607034.6886992455,8353746.96421814,1406843.025925219,5667813.2060165405,1673971.215550959,1284035.7226161957,1007990.736087922,6230392.177181244,1132890.857969977,1150972.7774659991,5923638.867888451,725688.7917940617,630941.4849740267,2952007.0438937545,40522.1136290431,50310.4614867568,2136107.5995571613,3506726.5080196857,415622.31312048435,1477801.35611327,1064553.4297245294,3840426.930847168,3267041.9126895666,5362017.479934692,382530.07797157764,1287304.7239570618,1576360.5148136616,5768.471489697695,2897524.089439392,2335296.004016459,552328.403993547,1296680.2688768506,1240436.3362799585,1046338.4935656935,1308109.5229830444,2108698.187443018,1934721.8819961548,860352.4927558899,1232561.4970752634,834434.6724002361
